id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,bps_kode_desa_kelurahan,bps_desa_kelurahan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,KODE_KD,kemendagri_nama_desa_kelurahan,kelompok_usia,jumlah_penduduk,satuan,semester,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,3-4,645,ORANG,1,2017
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,5,311,ORANG,1,2017
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,6-11,787,ORANG,1,2017
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,12-14,186,ORANG,1,2017
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,15-17,113,ORANG,1,2017
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250003,GEGERKALONG,32.73.01,SUKASARI,32.73.01.1002,GEGERKALONG,18-22,117,ORANG,1,2017
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,3-4,791,ORANG,1,2017
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,5,393,ORANG,1,2017
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,6-11,984,ORANG,1,2017
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,12-14,178,ORANG,1,2017
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,15-17,134,ORANG,1,2017
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250001,SARIJADI,32.73.01,SUKASARI,32.73.01.1004,SARIJADI,18-22,151,ORANG,1,2017
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,3-4,402,ORANG,1,2017
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,5,214,ORANG,1,2017
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,6-11,419,ORANG,1,2017
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,12-14,76,ORANG,1,2017
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,15-17,55,ORANG,1,2017
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250004,ISOLA,32.73.01,SUKASARI,32.73.01.1003,ISOLA,18-22,37,ORANG,1,2017
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,3-4,374,ORANG,1,2017
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,5,207,ORANG,1,2017
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,6-11,430,ORANG,1,2017
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,12-14,87,ORANG,1,2017
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,15-17,57,ORANG,1,2017
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273250,SUKASARI,3273250002,SUKARASA,32.73.01,SUKASARI,32.73.01.1001,SUKARASA,18-22,38,ORANG,1,2017
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,LEBAK GEDE,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,3-4,299,ORANG,1,2017
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273230,COBLONG,3273230003,LEBAK GEDE,32.73.02,COBLONG,32.73.02.1002,LEBAKGEDE,5,153,ORANG,1,2017
