id,kode_provinsi,nama_provinsi,bps_kode_kabupaten_kota,bps_nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,KODE_KEC,kemendagri_nama_kecamatan,kategori,jumlah,satuan,tahun
1,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,BERESIKO STUNTING,5806,KELUARGA,2022
2,32,JAWA BARAT,3273,KOTA BANDUNG,3273180,ANDIR,32.73.05,ANDIR,TIDAK BERESIKO STUNTING,4785,KELUARGA,2022
3,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,BERESIKO STUNTING,1341,KELUARGA,2022
4,32,JAWA BARAT,3273,KOTA BANDUNG,3273141,ANTAPANI,32.73.20,ANTAPANI,TIDAK BERESIKO STUNTING,7724,KELUARGA,2022
5,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,BERESIKO STUNTING,387,KELUARGA,2022
6,32,JAWA BARAT,3273,KOTA BANDUNG,3273130,ARCAMANIK,32.73.24,ARCAMANIK,TIDAK BERESIKO STUNTING,6201,KELUARGA,2022
7,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,BERESIKO STUNTING,0,KELUARGA,2022
8,32,JAWA BARAT,3273,KOTA BANDUNG,3273050,ASTANAANYAR,32.73.10,ASTANA ANYAR,TIDAK BERESIKO STUNTING,7007,KELUARGA,2022
9,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,BERESIKO STUNTING,1643,KELUARGA,2022
10,32,JAWA BARAT,3273,KOTA BANDUNG,3273020,BABAKAN CIPARAY,32.73.03,BABAKAN CIPARAY,TIDAK BERESIKO STUNTING,15793,KELUARGA,2022
11,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,BERESIKO STUNTING,2948,KELUARGA,2022
12,32,JAWA BARAT,3273,KOTA BANDUNG,3273080,BANDUNG KIDUL,32.73.21,BANDUNG KIDUL,TIDAK BERESIKO STUNTING,4068,KELUARGA,2022
13,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,BERESIKO STUNTING,6658,KELUARGA,2022
14,32,JAWA BARAT,3273,KOTA BANDUNG,3273010,BANDUNG KULON,32.73.15,BANDUNG KULON,TIDAK BERESIKO STUNTING,15507,KELUARGA,2022
15,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,BERESIKO STUNTING,2297,KELUARGA,2022
16,32,JAWA BARAT,3273,KOTA BANDUNG,3273200,BANDUNG WETAN,32.73.09,BANDUNG WETAN,TIDAK BERESIKO STUNTING,566,KELUARGA,2022
17,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,BERESIKO STUNTING,5813,KELUARGA,2022
18,32,JAWA BARAT,3273,KOTA BANDUNG,3273160,BATUNUNGGAL,32.73.12,BATUNUNGGAL,TIDAK BERESIKO STUNTING,8045,KELUARGA,2022
19,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,BERESIKO STUNTING,1541,KELUARGA,2022
20,32,JAWA BARAT,3273,KOTA BANDUNG,3273030,BOJONGLOA KALER,32.73.04,BOJONGLOA KALER,TIDAK BERESIKO STUNTING,5954,KELUARGA,2022
21,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,BERESIKO STUNTING,3387,KELUARGA,2022
22,32,JAWA BARAT,3273,KOTA BANDUNG,3273040,BOJONGLOA KIDUL,32.73.17,BOJONGLOA KIDUL,TIDAK BERESIKO STUNTING,5548,KELUARGA,2022
23,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,BERESIKO STUNTING,1541,KELUARGA,2022
24,32,JAWA BARAT,3273,KOTA BANDUNG,3273090,BUAHBATU,32.73.22,BUAHBATU,TIDAK BERESIKO STUNTING,4066,KELUARGA,2022
25,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,BERESIKO STUNTING,177,KELUARGA,2022
26,32,JAWA BARAT,3273,KOTA BANDUNG,3273220,CIBEUNYING KALER,32.73.18,CIBEUNYING KALER,TIDAK BERESIKO STUNTING,6035,KELUARGA,2022
27,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,BERESIKO STUNTING,1392,KELUARGA,2022
28,32,JAWA BARAT,3273,KOTA BANDUNG,3273210,CIBEUNYING KIDUL,32.73.14,CIBEUNYING KIDUL,TIDAK BERESIKO STUNTING,11618,KELUARGA,2022
29,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,BERESIKO STUNTING,2658,KELUARGA,2022
30,32,JAWA BARAT,3273,KOTA BANDUNG,3273110,CIBIRU,32.73.25,CIBIRU,TIDAK BERESIKO STUNTING,8904,KELUARGA,2022
31,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,BERESIKO STUNTING,2448,KELUARGA,2022
32,32,JAWA BARAT,3273,KOTA BANDUNG,3273190,CICENDO,32.73.06,CICENDO,TIDAK BERESIKO STUNTING,7832,KELUARGA,2022
33,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,BERESIKO STUNTING,2248,KELUARGA,2022
34,32,JAWA BARAT,3273,KOTA BANDUNG,3273260,CIDADAP,32.73.08,CIDADAP,TIDAK BERESIKO STUNTING,514,KELUARGA,2022
